"id","title","release_year","country","duration","language","certification","gross","budget"
1362,"Cecil B. DeMented",2000,"France",87,"English","R",1276984,10000000
1363,"Center Stage",2000,"USA",115,"English","PG-13",17174870,18000000
1364,"Charlie's Angels",2000,"USA",94,"English","PG-13",125305545,92000000
1365,"Chicken Run",2000,"UK",84,"English","G",106793915,45000000
1366,"Chocolat",2000,"UK",121,"English","PG-13",71309760,25000000
1367,"Chuck & Buck",2000,"USA",96,"English","R",1050600,250000
1368,"Coyote Ugly",2000,"USA",107,"English","PG-13",60786269,45000000
1369,"Crouching Tiger, Hidden Dragon",2000,"Taiwan",120,"Mandarin","PG-13",128067808,15000000
1370,"Dancer in the Dark",2000,"Denmark",140,"English","R",4157491,12800000
1371,"Digimon: The Movie",2000,"USA",82,"English","PG",9628751,5000000
1372,"Dinner Rush",2000,"USA",99,"English","R",110000,
1373,"Dinosaur",2000,"USA",82,"English","PG",137748063,127500000
1374,"Down to You",2000,"USA",91,"English","PG-13",20035310,9000000
1375,"Dracula 2000",2000,"USA",99,"English","R",33000377,28000000
1376,"Drowning Mona",2000,"USA",96,"English","PG-13",15427192,16000000
1377,"Dude, Where's My Car?",2000,"USA",83,"English","PG-13",46729374,13000000
1378,"Duets",2000,"USA",112,"English","R",4734235,15000000
1379,"Erin Brockovich",2000,"USA",131,"English","R",125548685,52000000
1380,"Everything Put Together",2000,"USA",87,"English","R",,100000
1381,"Final Destination",2000,"USA",98,"English","R",53302314,23000000
1382,"Finding Forrester",2000,"USA",136,"English","PG-13",51768623,43000000
1383,"Fiza",2000,"India",167,"Hindi",,610991,1000000
1384,"Frequency",2000,"USA",118,"English","PG-13",44983704,31000000
1385,"George Washington",2000,"USA",90,"English","Unrated",241816,42000
1386,"Get Carter",2000,"USA",102,"English","R",14967182,40000000
1387,"Gladiator",2000,"USA",171,"English","R",187670866,103000000
1388,"Gone in Sixty Seconds",2000,"USA",127,"English","PG-13",101643008,90000000
1389,"Gossip",2000,"USA",90,"English","R",5108820,24000000
1390,"Groove",2000,"USA",86,"English","R",1114943,500000
1391,"Gun Shy",2000,"USA",101,"English","R",1631839,10000000
1392,"Hanging Up",2000,"Germany",94,"English","PG-13",36037909,60000000
1393,"Here on Earth",2000,"USA",96,"English","PG-13",10494147,15000000
1394,"High Fidelity",2000,"UK",113,"English","R",27277055,20000000
1395,"Highlander: Endgame",2000,"USA",101,"English","R",12801190,15000000
1396,"Hollow Man",2000,"USA",119,"English","R",73209340,95000000
1397,"How the Grinch Stole Christmas",2000,"USA",110,"English","PG",260031035,123000000
1398,"Hum To Mohabbat Karega",2000,"India",,"Hindi",,,
1399,"I Dreamed of Africa",2000,"USA",114,"English","PG-13",6543194,34000000
1400,"Isn't She Great",2000,"USA",95,"English","R",2954405,36000000
1401,"Keeping the Faith",2000,"USA",128,"English","PG-13",37036404,30000000
1402,"Lisa Picard Is Famous",2000,"USA",90,"English","PG-13",112521,
1403,"Little Nicky",2000,"USA",90,"English","PG-13",39442871,80000000
1404,"Loser",2000,"USA",98,"English","PG-13",15464026,20000000
1405,"Lost Souls",2000,"USA",97,"English","R",16779636,28000000
1406,"Love & Basketball",2000,"USA",124,"English","PG-13",27441122,15000000
1407,"Lucky Numbers",2000,"France",105,"English","R",10014234,65000000
1408,"Luminarias",2000,"USA",100,"English","R",428535,1000000
1409,"Me, Myself & Irene",2000,"USA",116,"English","R",90567722,51000000
1410,"Meet the Parents",2000,"USA",108,"English","PG-13",166225040,55000000
1411,"Memento",2000,"USA",113,"English","R",25530884,9000000
1412,"Men of Honor",2000,"USA",129,"English","R",48814909,32000000
1413,"Mercy Streets",2000,"USA",106,"English","PG-13",171988,600000
1414,"Michael Jordan to the Max",2000,"USA",46,"English",,18642318,
1415,"Miss Congeniality",2000,"USA",109,"English","PG-13",106807667,45000000
1416,"Mission to Mars",2000,"USA",114,"English","PG",60874615,90000000
1417,"Mission: Impossible II",2000,"USA",123,"English","PG-13",215397307,125000000
1418,"My Dog Skip",2000,"USA",95,"English","PG",34099640,5000000
1419,"Next Friday",2000,"USA",98,"English","R",57176582,9500000
1420,"Nine Queens",2000,"Argentina",114,"Spanish","R",1221261,1500000
1421,"Nurse Betty",2000,"Germany",110,"English","R",25167270,24000000
1422,"Nutty Professor II: The Klumps",2000,"USA",109,"English","PG-13",123307945,65000000
1423,"O Brother, Where Art Thou?",2000,"UK",107,"English","PG-13",45506619,26000000
1424,"Pandaemonium",2000,"UK",124,"English","PG-13",,15000000
1425,"Pay It Forward",2000,"USA",123,"English","PG-13",33508922,40000000
1426,"Pitch Black",2000,"USA",112,"English","R",39235088,23000000
1427,"Pokémon 3: The Movie",2000,"Japan",93,"Japanese","G",,16000000
1428,"Pollock",2000,"USA",122,"English","R",8596914,6000000
1429,"Proof of Life",2000,"USA",135,"English","R",32598931,65000000
1430,"Psycho Beach Party",2000,"Australia",85,"English","Unrated",265107,1500000
1431,"Quills",2000,"UK",124,"English","R",7060876,13500000
1432,"Ready to Rumble",2000,"USA",107,"English","PG-13",12372410,24000000
1433,"Red Planet",2000,"USA",106,"English","PG-13",17473245,70000000
1434,"Reindeer Games",2000,"USA",124,"English","R",23360779,34000000
1435,"Remember the Titans",2000,"USA",120,"English","PG",115648585,30000000
1436,"Requiem for a Dream",2000,"USA",102,"English","R",3609278,4500000
1437,"Return to Me",2000,"USA",115,"English","PG",32662299,24000000
1438,"Road Trip",2000,"USA",94,"English","R",68525609,15600000
1439,"Romeo Must Die",2000,"USA",115,"English","R",55973336,25000000
1440,"Rugrats in Paris: The Movie",2000,"Germany",78,"English","G",76501438,30000000
1441,"Scream 3",2000,"USA",116,"English","R",89138076,40000000
1442,"Screwed",2000,"USA",81,"English","PG-13",6982680,10000000
1443,"Sexy Beast",2000,"UK",89,"English","R",6940281,
1444,"Shadow of the Vampire",2000,"UK",92,"English","R",8279017,8000000
1445,"Shaft",2000,"Germany",99,"English","R",70327868,46000000
1446,"Shanghai Noon",2000,"USA",110,"English","PG-13",56932305,55000000
1447,"Small Time Crooks",2000,"USA",94,"English","PG",17071230,18000000
1448,"Snatch",2000,"UK",104,"English","R",30093107,6000000
1449,"Snatch",2000,"UK",104,"English","R",30093107,6000000
1450,"Snow Day",2000,"USA",89,"English","PG",60008303,13000000
1451,"Songcatcher",2000,"USA",109,"English","PG-13",3050934,1800000
1452,"Space Cowboys",2000,"USA",130,"English","PG-13",90454043,65000000
1453,"Supernova",2000,"USA",91,"English","PG-13",14218868,65000000
1454,"Tadpole",2000,"USA",78,"English","PG-13",2882062,150000
1455,"The 6th Day",2000,"USA",123,"English","PG-13",34543701,82000000
1456,"The Adventures of Rocky & Bullwinkle",2000,"USA",92,"English","PG",26000610,76000000
1457,"The Art of War",2000,"USA",116,"English","R",30199105,40000000
1458,"The Beach",2000,"USA",119,"English","R",39778599,50000000
1459,"The Broken Hearts Club: A Romantic Comedy",2000,"USA",94,"English","R",1744858,1000000
1460,"The Cell",2000,"USA",109,"English","R",61280963,33000000
1461,"The Circle",2000,"Iran",90,"Persian","Not Rated",673780,10000
1462,"The Claim",2000,"UK",115,"English","R",403932,20000000
1463,"The Claim",2000,"UK",115,"English","R",403932,20000000
1464,"The Contender",2000,"USA",126,"English","R",17804273,20000000
1465,"The Crew",2000,"USA",88,"English","PG-13",13019253,23000000
1466,"The Emperor's New Groove",2000,"USA",78,"English","G",89296573,100000000
1467,"The Family Man",2000,"USA",125,"English","PG-13",75764085,60000000
1468,"The Flintstones in Viva Rock Vegas",2000,"USA",90,"English","PG",35231365,60000000
1469,"The House of Mirth",2000,"UK",135,"English","PG",3041803,10000000
1470,"The In Crowd",2000,"USA",105,"English","PG-13",5217498,15000000
1471,"The Kid",2000,"USA",104,"English","PG",69688384,60000000
1472,"The Ladies Man",2000,"USA",84,"English","R",13592872,11000000
1473,"The Legend of Bagger Vance",2000,"USA",126,"English","PG-13",30695227,60000000
1474,"The Little Vampire",2000,"Germany",95,"English","PG",13555988,22000000
1475,"The Next Best Thing",2000,"USA",99,"English","PG-13",14983572,25000000
1476,"The Original Kings of Comedy",2000,"USA",115,"English","R",38168022,3000000
1477,"The Patriot",2000,"USA",142,"English","R",113330342,110000000
1478,"The Perfect Storm",2000,"USA",130,"English","PG-13",182618434,140000000
1479,"The Replacements",2000,"USA",118,"English","PG-13",44737059,50000000
1480,"The Road to El Dorado",2000,"USA",89,"English","PG",50802661,95000000
1481,"The Skulls",2000,"USA",106,"English","PG-13",35007180,15000000
1482,"The Specials",2000,"USA",82,"English","R",12996,1000000
1483,"The Tigger Movie",2000,"USA",77,"English","G",45542421,30000000
1484,"The Watcher",2000,"USA",97,"English","R",28927720,33000000
1485,"The Way of the Gun",2000,"USA",119,"English","R",6047856,8500000
1486,"The Whole Nine Yards",2000,"USA",98,"English","R",57262492,24000000
1487,"The Widow of Saint-Pierre",2000,"France",112,"French","R",3058380,100000000
1488,"The Yards",2000,"USA",115,"English","R",882710,24000000
1489,"The Young Unknowns",2000,"USA",87,"English","R",58163,
1490,"Thirteen Days",2000,"USA",145,"English","PG-13",34566746,80000000
1491,"Thomas and the Magic Railroad",2000,"UK",85,"English","G",15911333,19000000
1492,"Titan A.E.",2000,"USA",94,"English","PG",22751979,75000000
1493,"Traffic",2000,"USA",190,"English","R",124107476,48000000
1494,"U-571",2000,"France",116,"English","PG-13",77086030,62000000
1495,"Unbreakable",2000,"USA",106,"English","PG-13",94999143,75000000
1496,"Urban Legends: Final Cut",2000,"USA",97,"English","R",21468807,14000000
1497,"Urbania",2000,"USA",106,"English","R",1027119,225000
1498,"Vertical Limit",2000,"USA",124,"English","PG-13",68473360,75000000
1499,"What Lies Beneath",2000,"USA",130,"English","PG-13",155370362,100000000
1500,"What Planet Are You From?",2000,"USA",87,"English","R",6291602,50000000
1501,"What Women Want",2000,"USA",127,"English","PG-13",182805123,70000000
1502,"Whatever It Takes",2000,"USA",94,"English","PG-13",8735529,15000000
1503,"Where the Heart Is",2000,"USA",120,"English","PG-13",33771174,15000000
1504,"Whipped",2000,"USA",82,"English","R",4142507,3000000
1505,"Woman on Top",2000,"USA",92,"English","R",5018450,8000000
1506,"Wonder Boys",2000,"USA",107,"English","R",19389454,55000000
1507,"X-Men",2000,"USA",104,"English","PG-13",157299717,75000000
1508,"You Can Count on Me",2000,"USA",111,"English","R",9180275,1200000
1509,"15 Minutes",2001,"USA",120,"English","R",24375436,42000000
1510,"3000 Miles to Graceland",2001,"USA",125,"English","R",15738632,42000000
1511,"A Beautiful Mind",2001,"USA",135,"English","PG-13",170708996,58000000
1512,"A Knight's Tale",2001,"USA",144,"English","PG-13",56083966,65000000
1513,"A.I. Artificial Intelligence",2001,"USA",146,"English","PG-13",78616689,100000000
1514,"Ali",2001,"USA",165,"English","R",58183966,107000000
1515,"Alias Betty",2001,"France",103,"French",,206400,50000000
1516,"All the Queen's Men",2001,"Germany",105,"English","PG-13",22723,25000000
1517,"Along Came a Spider",2001,"USA",104,"English","R",74058698,60000000
1518,"Amélie",2001,"France",122,"French","R",33201661,77000000
1519,"America's Sweethearts",2001,"USA",102,"English","PG-13",93607673,48000000
1520,"American Desi",2001,"USA",100,"English","Unrated",902835,250000
1521,"American Outlaws",2001,"USA",94,"English","PG-13",13264986,35000000
1522,"American Pie 2",2001,"USA",108,"English","R",145096820,30000000
1523,"Angel Eyes",2001,"USA",102,"English","R",24044532,38000000
1524,"Antitrust",2001,"USA",109,"English","PG-13",10965209,30000000
1525,"Atlantis: The Lost Empire",2001,"USA",95,"English","PG",84037039,120000000
1526,"Ayurveda: Art of Being",2001,"India",102,"English",,16892,300000
1527,"Baby Boy",2001,"USA",130,"English","R",28734552,16000000
1528,"Bandits",2001,"USA",123,"English","PG-13",41523271,80000000
1529,"Behind Enemy Lines",2001,"USA",106,"English","PG-13",59068786,40000000
1530,"Birthday Girl",2001,"UK",93,"English","R",4919896,13000000
1531,"Black Hawk Down",2001,"USA",152,"English","R",108638745,92000000
1532,"Black Knight",2001,"USA",95,"English","PG-13",33422806,50000000
1533,"Blow",2001,"USA",124,"English","R",52937130,30000000
1534,"Bridget Jones's Diary",2001,"UK",97,"English","R",71500556,26000000
1535,"Brigham City",2001,"USA",119,"English","PG-13",798341,1000000
1536,"Bubble Boy",2001,"USA",84,"English","PG-13",5002310,13000000
1537,"Buffalo Soldiers",2001,"UK",98,"English","R",353743,15000000
1538,"Bully",2001,"USA",115,"English","R",510092,
1539,"Captain Corelli's Mandolin",2001,"UK",131,"English","R",25528495,57000000
1540,"Cats & Dogs",2001,"USA",87,"English","PG",93375151,60000000
1541,"Corky Romano",2001,"USA",86,"English","PG-13",23978402,11000000
1542,"Crazy/Beautiful",2001,"USA",135,"English","PG-13",16929123,14000000
1543,"Crocodile Dundee in Los Angeles",2001,"Australia",92,"English","PG",25590119,21150000
1544,"Dogtown and Z-Boys",2001,"USA",91,"English","PG-13",1293295,
1545,"Domestic Disturbance",2001,"USA",89,"English","PG-13",45207112,53000000
1546,"Don't Say a Word",2001,"USA",113,"English","R",54997476,50000000
1547,"Donnie Darko",2001,"USA",133,"English","R",727883,4500000
1548,"Double Take",2001,"USA",88,"English","PG-13",20218,24000000
1549,"Down and Out with the Dolls",2001,"USA",88,"English","R",58936,1200000
1550,"Down to Earth",2001,"USA",87,"English","PG-13",64172251,30000000
1551,"Dr. Dolittle 2",2001,"USA",87,"English","PG",112950721,72000000
1552,"Driven",2001,"USA",116,"English","PG-13",32616869,72000000
1553,"Elling",2001,"Norway",89,"Norwegian","R",313436,15500000
1554,"Enemy at the Gates",2001,"USA",131,"English","R",51396781,68000000
1555,"Exit Wounds",2001,"USA",101,"English","R",51758599,33000000
1556,"Final Fantasy: The Spirits Within",2001,"USA",106,"English","PG-13",32131830,137000000
1557,"Formula 51",2001,"UK",93,"English","R",5204007,28000000
1558,"Frailty",2001,"USA",100,"English","R",13103828,11000000
1559,"Freddy Got Fingered",2001,"USA",87,"English","R",14249005,15000000
1560,"From Hell",2001,"USA",122,"English","R",31598308,35000000
1561,"From Hell",2001,"USA",122,"English","R",31598308,35000000
1562,"Get Over It",2001,"USA",87,"English","PG-13",11560259,22000000
1563,"Ghost World",2001,"USA",111,"English","R",6200756,7000000
1564,"Ghosts of Mars",2001,"USA",98,"English","R",8434601,28000000
1565,"Glitter",2001,"USA",104,"English","PG-13",4273372,22000000
1566,"Gosford Park",2001,"UK",131,"English","R",41300105,19800000
1567,"Hardball",2001,"USA",106,"English","PG-13",40219708,21000000
1568,"Harry Potter and the Sorcerer's Stone",2001,"UK",159,"English","PG",317557891,125000000
1569,"Harvard Man",2001,"USA",99,"English","R",56007,5500000
1570,"Head Over Heels",2001,"USA",86,"English","PG-13",10397365,14000000
1571,"Heartbreakers",2001,"USA",123,"English","PG-13",40334024,35000000
1572,"Hearts in Atlantis",2001,"USA",101,"English","PG-13",24185781,31000000
1573,"Hedwig and the Angry Inch",2001,"USA",95,"English","R",3029081,6000000
1574,"High Heels and Low Lifes",2001,"UK",86,"English","R",226792,10000000
1575,"How High",2001,"USA",93,"English","R",31155435,12000000
1576,"I Am Sam",2001,"USA",132,"English","PG-13",40270895,22000000
1577,"Impostor",2001,"USA",102,"English","R",6114237,40000000
1578,"In the Bedroom",2001,"USA",138,"English","R",35918429,1700000
1579,"Iris",2001,"UK",91,"English","R",1292119,5500000
1580,"Jason X",2001,"USA",85,"English","R",12610731,11000000
1581,"Jay and Silent Bob Strike Back",2001,"USA",104,"English","R",30059386,22000000
1582,"Jeepers Creepers",2001,"Germany",90,"English","R",37470017,10000000
1583,"Jimmy Neutron: Boy Genius",2001,"USA",82,"English","G",80920948,30000000
1584,"Joe Dirt",2001,"USA",91,"English","PG-13",27087695,17700000
1585,"Joe Somebody",2001,"USA",98,"English","PG",22770864,38000000
1586,"Josie and the Pussycats",2001,"Canada",98,"English","PG-13",14252830,22000000
1587,"Joy Ride",2001,"USA",97,"English","R",21973182,23000000
1588,"Jurassic Park III",2001,"USA",92,"English","PG-13",181166115,93000000
1589,"Just Visiting",2001,"France",84,"English","PG-13",4777007,40000000
1590,"K-PAX",2001,"USA",120,"English","PG-13",50173190,48000000
1591,"Kate & Leopold",2001,"USA",123,"English","PG-13",47095453,48000000
1592,"Kiss of the Dragon",2001,"France",98,"English","R",36833473,25000000
1593,"Kissing Jessica Stein",2001,"USA",97,"English","R",7022940,1000000
1594,"Knockaround Guys",2001,"USA",92,"English","R",11632420,
1595,"L.I.E.",2001,"USA",97,"English","NC-17",1141829,700000
1596,"Lara Croft: Tomb Raider",2001,"USA",100,"English","PG-13",131144183,115000000
1597,"Last Orders",2001,"UK",109,"English","R",2326407,12000000
1598,"Legally Blonde",2001,"USA",96,"English","PG-13",95001351,18000000
1599,"Life as a House",2001,"USA",125,"English","R",15561627,18000000
1600,"Lovely & Amazing",2001,"USA",91,"English","R",4186931,250000
1601,"Lucky Break",2001,"UK",107,"English","PG-13",54606,6000000
1602,"Made",2001,"USA",95,"English","R",5308707,5000000
1603,"Madison",2001,"USA",94,"English","PG",508867,
1604,"Max Keeble's Big Move",2001,"USA",91,"English","PG",17292381,12000000
1605,"Mean Machine",2001,"UK",99,"English","R",92191,2500000
1606,"Megiddo: The Omega Code 2",2001,"USA",104,"English","PG-13",5974653,22000000
